feature_index,feature,importance
1158,team2_stats.7th-inning-runs-per-game.Last 1,33173306107.26216
1350,team2_stats.home-adv-by-other.Hi,32435371999.16269
2035,team2_stats.schedule-strength-by-other.Hi,31522490513.366867
1387,team2_stats.in-division-by-other.Hi,31469404353.377922
1296,team2_stats.future-sos-by-other.Hi,31411460533.63391
1628,team2_stats.opponent-first-4-innings-runs-per-game.2023,31294652615.067703
2158,team2_stats.vs-17-22-by-other.Hi,31282364694.264023
1957,team2_stats.opponent-win-pct-close-games.2023,31234933488.226692
357,team1_stats.on-base-pct.2023,30170680940.876503
979,team1_stats.stolen-bases-attempted-per-game.Last 1,30011443071.60985
1719,team2_stats.opponent-last-2-innings-runs-per-game.2023,29890672033.029995
406,team1_stats.opponent-6th-inning-runs-per-game.2023,29563353341.455357
1698,team2_stats.opponent-home-runs-per-9.2023,29464079713.532005
2007,team2_stats.runners-left-in-scoring-position-per-game.2023,29375131164.62368
1733,team2_stats.opponent-last-4-innings-runs-per-game.2023,29020791293.429
753,team1_stats.opponent-stolen-bases-attempted.Last 1,29012183776.73561
1454,team2_stats.no-run-first-inning-pct.Last 1,28943867233.364113
714,team1_stats.opponent-secondary-average.2023,28346965326.53579
1268,team2_stats.extra-inning-runs-per-game.2023,28228681501.696056
2219,team2_stats.yes-run-first-inning-pct.Last 1,27955516460.079956
1247,team2_stats.earned-runs-against-per-game.2023,27910757166.27623
1392,team2_stats.in-division-sos-by-other.Hi,27910590267.044743
2052,team2_stats.shutouts.2023,27668317821.511078
1144,team2_stats.5th-inning-runs-per-game.Last 1,27248245554.674263
986,team1_stats.stolen-bases-per-game.Last 1,27196371400.437862
1908,team2_stats.opponent-total-bases-per-game.2023,26880282463.898796
945,team1_stats.shutouts.Home,26864813307.704628
1488,team2_stats.opponent-2nd-inning-runs-per-game.2023,26804466090.032593
1108,team1_stats.yes-run-first-inning-pct.Home,26580062767.70436
1590,team2_stats.opponent-doubles-per-game.Last 1,26525947933.55391
1303,team2_stats.games-played.Away,26411448106.134758
760,team1_stats.opponent-stolen-bases-per-game.Last 1,26401164367.085808
1761,team2_stats.opponent-on-base-plus-slugging-pct.2023,26334238693.69171
1980,team2_stats.plate-appearances.Away,26238884299.53596
1304,team2_stats.games-played.Home,26230740410.54159
1081,team1_stats.walks-per-game.Last 1,25976953190.907257
599,team1_stats.opponent-home-runs-per-game.Last 1,25960375466.92501
894,team1_stats.run-differential.Last 1,25935607390.805756
2215,team2_stats.yes-run-first-inning-pct.2023,25533415379.012283
1502,team2_stats.opponent-4th-inning-runs-per-game.2023,25401810273.228092
1558,team2_stats.opponent-batting-average.2023,25038065946.01636
1981,team2_stats.plate-appearances.Home,24873802931.426685
1130,team2_stats.3rd-inning-runs-per-game.Last 1,24688365104.534645
198,team1_stats.grounded-into-double-plays-per-game.2023,24462149785.024147
2106,team2_stats.strikeouts-per-9.2023,23928440008.371464
1709,team2_stats.opponent-home-runs-per-game.Last 1,23853627157.25208
953,team1_stats.singles-per-game.Last 1,23549144517.953995
1137,team2_stats.4th-inning-runs-per-game.Last 1,23527317619.497147
944,team1_stats.shutouts.Away,23491306562.16375
1831,team2_stats.opponent-shutouts.2023,23414544486.154114
1116,team2_stats.1st-inning-runs-per-game.Last 1,23160772808.01024
857,team1_stats.opponent-yes-run-first-inning-pct.Home,23151778739.20408
469,team1_stats.opponent-double-plays-per-game.2023,23097656778.12666
1880,team2_stats.opponent-strikeouts-per-9.2023,22790094621.98397
1740,team2_stats.opponent-left-on-base-per-game.2023,22672057240.27745
2138,team2_stats.total-bases-per-game.Last 1,22667819378.109066
1123,team2_stats.2nd-inning-runs-per-game.Last 1,22639210308.152695
723,team1_stats.opponent-shutouts.Away,21846582778.451645
560,team1_stats.opponent-hits-per-9.2023,21829698722.643105
110,team1_stats.consistency-by-other.Lo,21658592388.031406
893,team1_stats.run-differential.Home,21379358808.50611
956,team1_stats.slugging-pct.2023,21124116766.476788
1723,team2_stats.opponent-last-2-innings-runs-per-game.Last 1,21067495290.24933
1541,team2_stats.opponent-9th-inning-runs-per-game.Last 1,20502321368.710304
1646,team2_stats.opponent-first-6-innings-runs-per-game.Last 1,20462399905.84939
1593,team2_stats.opponent-earned-run-average.2023,20437060362.53575
1168,team2_stats.9th-inning-runs-per-game.2023,20357055249.125942
2153,team2_stats.vs-11-16-by-other.Hi,20309183871.46629
724,team1_stats.opponent-shutouts.Home,20205967355.23004
1220,team2_stats.consistency-by-other.Lo,20123878844.142918
1450,team2_stats.no-run-first-inning-pct.2023,19984774188.158142
1165,team2_stats.8th-inning-runs-per-game.Last 1,19915260788.81363
620,team1_stats.opponent-last-3-innings-runs-per-game.Last 1,19828866687.318054
1614,team2_stats.opponent-extra-base-hit-pct.2023,19504189759.13276
777,team1_stats.opponent-strikeouts-per-game.2023,19266059755.83918
162,team1_stats.extra-inning-runs-per-game.Last 1,19145570559.817886
1474,team2_stats.on-base-plus-slugging-pct.2023,18826463040.581367
1534,team2_stats.opponent-8th-inning-runs-per-game.Last 1,18741595360.157536
2113,team2_stats.strikeouts-per-game.2023,18442790371.171192
522,team1_stats.opponent-first-4-innings-runs-per-game.Last 1,18298604365.771732
1373,team2_stats.home-runs-per-9.2023,18287458170.389454
1380,team2_stats.home-runs-per-game.2023,18081625015.967297
1922,team2_stats.opponent-walk-pct.2023,17959221888.852848
1204,team2_stats.batting-average-on-balls-in-play.2023,17627402674.373466
749,team1_stats.opponent-stolen-bases-attempted.2023,17346175611.191975
1943,team2_stats.opponent-walks-plus-hits--per--innings-pitched.2023,17246028377.160866
1435,team2_stats.left-on-base-per-game.2023,17140838667.720154
1506,team2_stats.opponent-4th-inning-runs-per-game.Last 1,17068848240.98262
72,team1_stats.at-bats-per-home-run.2023,16936837938.93568
550,team1_stats.opponent-hit-by-pitch-per-game.Last 1,16646615590.250282
2078,team2_stats.stolen-base-pct.2023,16549351480.583021
1572,team2_stats.opponent-caught-stealing-per-game.2023,16530245139.656357
1172,team2_stats.9th-inning-runs-per-game.Last 1,16450011876.770748
1024,team1_stats.total-bases-per-game.2023,16303644801.246387
1492,team2_stats.opponent-2nd-inning-runs-per-game.Last 1,16205268149.419674
1358,team2_stats.home-by-other.Hi,16067889892.942833
1499,team2_stats.opponent-3rd-inning-runs-per-game.Last 1,16063974627.395401
869,team1_stats.plate-appearances.2024,15678382344.513844
