2025-05-26 17:10:29 INFO     root: populate_pregame_data: inserted/updated 1 rows, skipped 0 games.
2025-05-26 17:10:29 INFO     root: Postprocessing NBA on 2025-05-03
2025-05-26 17:10:30 INFO     root: Updated final scores for 1 games. Skipped 0 games.
2025-05-26 17:10:30 INFO     root: Preprocessing MLB on 2025-05-03
2025-05-26 17:12:06 INFO     root: populate_pregame_data: inserted/updated 15 rows, skipped 0 games.
2025-05-26 17:12:06 INFO     root: Postprocessing MLB on 2025-05-03
2025-05-26 17:12:06 INFO     root: Updated final scores for 14 games. Skipped 1 games.
2025-05-26 17:12:06 INFO     root: Preprocessing NBA on 2025-05-02
2025-05-26 17:12:25 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/two-point-rate?date=2025-05-02, sleeping 4 minutes before retry
2025-05-26 17:17:26 INFO     root: populate_pregame_data: inserted/updated 1 rows, skipped 0 games.
2025-05-26 17:17:26 INFO     root: Postprocessing NBA on 2025-05-02
2025-05-26 17:17:27 INFO     root: Updated final scores for 1 games. Skipped 0 games.
2025-05-26 17:17:27 INFO     root: Preprocessing MLB on 2025-05-02
2025-05-26 17:19:04 INFO     root: populate_pregame_data: inserted/updated 15 rows, skipped 0 games.
2025-05-26 17:19:04 INFO     root: Postprocessing MLB on 2025-05-02
2025-05-26 17:19:04 INFO     root: Updated final scores for 15 games. Skipped 0 games.
2025-05-26 17:19:04 INFO     root: Preprocessing NBA on 2025-05-01
2025-05-26 17:19:46 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/opponent-three-point-pct?date=2025-05-01, sleeping 4 minutes before retry
2025-05-26 17:24:25 INFO     root: populate_pregame_data: inserted/updated 2 rows, skipped 0 games.
2025-05-26 17:24:25 INFO     root: Postprocessing NBA on 2025-05-01
2025-05-26 17:24:25 INFO     root: Updated final scores for 2 games. Skipped 0 games.
2025-05-26 17:24:25 INFO     root: Preprocessing MLB on 2025-05-01
2025-05-26 17:25:56 INFO     root: populate_pregame_data: inserted/updated 11 rows, skipped 0 games.
2025-05-26 17:25:56 INFO     root: Postprocessing MLB on 2025-05-01
2025-05-26 17:25:57 INFO     root: Updated final scores for 11 games. Skipped 0 games.
2025-05-26 17:25:57 INFO     root: Preprocessing NBA on 2025-04-30
2025-05-26 17:26:55 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/extra-chances-per-game?date=2025-04-30, sleeping 4 minutes before retry
2025-05-26 17:31:17 INFO     root: populate_pregame_data: inserted/updated 2 rows, skipped 0 games.
2025-05-26 17:31:17 INFO     root: Postprocessing NBA on 2025-04-30
2025-05-26 17:31:17 INFO     root: Updated final scores for 2 games. Skipped 0 games.
2025-05-26 17:31:17 INFO     root: Preprocessing MLB on 2025-04-30
2025-05-26 17:33:10 INFO     root: populate_pregame_data: inserted/updated 16 rows, skipped 0 games.
2025-05-26 17:33:10 INFO     root: Postprocessing MLB on 2025-04-30
2025-05-26 17:33:10 INFO     root: Updated final scores for 16 games. Skipped 0 games.
2025-05-26 17:33:10 INFO     root: Preprocessing NBA on 2025-04-29
2025-05-26 17:34:49 INFO     root: populate_pregame_data: inserted/updated 4 rows, skipped 0 games.
2025-05-26 17:34:49 INFO     root: Postprocessing NBA on 2025-04-29
2025-05-26 17:34:50 INFO     root: Updated final scores for 4 games. Skipped 0 games.
2025-05-26 17:34:50 INFO     root: Preprocessing MLB on 2025-04-29
2025-05-26 17:34:50 WARNING  root: 403 Forbidden at https://www.teamrankings.com/mlb/stat/runs-per-game?date=2025-04-29, sleeping 4 minutes before retry
2025-05-26 17:40:28 INFO     root: populate_pregame_data: inserted/updated 15 rows, skipped 0 games.
2025-05-26 17:40:28 INFO     root: Postprocessing MLB on 2025-04-29
2025-05-26 17:40:28 INFO     root: Updated final scores for 14 games. Skipped 1 games.
2025-05-26 17:40:28 INFO     root: Preprocessing NBA on 2025-04-28
2025-05-26 17:41:47 INFO     root: populate_pregame_data: inserted/updated 2 rows, skipped 0 games.
2025-05-26 17:41:47 INFO     root: Postprocessing NBA on 2025-04-28
2025-05-26 17:41:48 INFO     root: Updated final scores for 2 games. Skipped 0 games.
2025-05-26 17:41:48 INFO     root: Preprocessing MLB on 2025-04-28
2025-05-26 17:42:05 WARNING  root: 403 Forbidden at https://www.teamrankings.com/mlb/stat/outs-pitched-per-game?date=2025-04-28, sleeping 4 minutes before retry
2025-05-26 17:47:16 INFO     root: populate_pregame_data: inserted/updated 8 rows, skipped 0 games.
2025-05-26 17:47:16 INFO     root: Postprocessing MLB on 2025-04-28
2025-05-26 17:47:16 INFO     root: Updated final scores for 8 games. Skipped 0 games.
2025-05-26 17:47:16 INFO     root: Preprocessing NBA on 2025-04-27
2025-05-26 17:48:40 INFO     root: populate_pregame_data: inserted/updated 4 rows, skipped 0 games.
2025-05-26 17:48:40 INFO     root: Postprocessing NBA on 2025-04-27
2025-05-26 17:48:40 INFO     root: Updated final scores for 4 games. Skipped 0 games.
2025-05-26 17:48:40 INFO     root: Preprocessing MLB on 2025-04-27
2025-05-26 17:49:15 WARNING  root: 403 Forbidden at https://www.teamrankings.com/mlb/stat/opponent-home-run-pct?date=2025-04-27, sleeping 4 minutes before retry
2025-05-26 17:54:17 INFO     root: populate_pregame_data: inserted/updated 16 rows, skipped 0 games.
2025-05-26 17:54:17 INFO     root: Postprocessing MLB on 2025-04-27
2025-05-26 17:54:17 INFO     root: Updated final scores for 16 games. Skipped 0 games.
2025-05-26 17:54:17 INFO     root: Preprocessing NBA on 2025-04-26
2025-05-26 17:54:32 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/three-point-pct?date=2025-04-26, sleeping 4 minutes before retry
2025-05-26 17:59:43 INFO     root: populate_pregame_data: inserted/updated 4 rows, skipped 0 games.
2025-05-26 17:59:43 INFO     root: Postprocessing NBA on 2025-04-26
2025-05-26 17:59:44 INFO     root: Updated final scores for 4 games. Skipped 0 games.
2025-05-26 17:59:44 INFO     root: Preprocessing MLB on 2025-04-26
2025-05-26 18:01:22 INFO     root: populate_pregame_data: inserted/updated 17 rows, skipped 0 games.
2025-05-26 18:01:22 INFO     root: Postprocessing MLB on 2025-04-26
2025-05-26 18:01:23 INFO     root: Updated final scores for 16 games. Skipped 1 games.
2025-05-26 18:01:23 INFO     root: Preprocessing NBA on 2025-04-25
2025-05-26 18:02:06 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/opponent-free-throw-pct?date=2025-04-25, sleeping 4 minutes before retry
2025-05-26 18:06:44 INFO     root: populate_pregame_data: inserted/updated 3 rows, skipped 0 games.
2025-05-26 18:06:44 INFO     root: Postprocessing NBA on 2025-04-25
2025-05-26 18:06:44 INFO     root: Updated final scores for 3 games. Skipped 0 games.
2025-05-26 18:06:44 INFO     root: Preprocessing MLB on 2025-04-25
2025-05-26 18:08:21 INFO     root: populate_pregame_data: inserted/updated 15 rows, skipped 0 games.
2025-05-26 18:08:21 INFO     root: Postprocessing MLB on 2025-04-25
2025-05-26 18:08:21 INFO     root: Updated final scores for 13 games. Skipped 2 games.
2025-05-26 18:08:21 INFO     root: Preprocessing NBA on 2025-04-24
2025-05-26 18:09:15 WARNING  root: 403 Forbidden at https://www.teamrankings.com/nba/stat/opponent-personal-fouls-per-possession?date=2025-04-24, sleeping 4 minutes before retry
2025-05-26 18:13:42 INFO     root: populate_pregame_data: inserted/updated 3 rows, skipped 0 games.
2025-05-26 18:13:42 INFO     root: Postprocessing NBA on 2025-04-24
2025-05-26 18:13:42 INFO     root: Updated final scores for 3 games. Skipped 0 games.
2025-05-26 18:13:42 INFO     root: Preprocessing MLB on 2025-04-24
2025-05-26 18:15:10 INFO     root: populate_pregame_data: inserted/updated 9 rows, skipped 0 games.
2025-05-26 18:15:10 INFO     root: Postprocessing MLB on 2025-04-24
2025-05-26 18:15:10 INFO     root: Updated final scores for 9 games. Skipped 0 games.
2025-05-26 18:15:10 INFO     root: Preprocessing NBA on 2025-04-23
